poids(preliminary,1) = 3.204662511748219
poids(real,73) = 2.5234212743726316
poids(time,73) = 1.9224937334435772
poids(data,73) = 1.9410264431601107
poids(assimilator,73) = 4.5056925074122
poids(high,74) = 2.5972074885335505
poids(speed,74) = 2.713300817913946
poids(sorting,74) = 2.8429346757306257
poids(procedure,74) = 2.3443245051772252
poids(parameter,75) = 3.125481265700594
poids(estimation,75) = 3.4265112613645754
poids(simple,75) = 2.3070354204577774
poids(nonlinear,75) = 3.043294509513244
poids(models,75) = 2.8824432170142997
poids(binary,76) = 1.8272170793465623
poids(conversion,76) = 1.907748213691843
poids(fixed,76) = 1.8907083189057055
poids(decimal,76) = 3.226938906459371
poids(precision,76) = 1.9808122315309622
poids(fraction,76) = 2.301301260210128
poids(gat,77) = 4.5056925074122
poids(construction,77) = 2.7575044804059994
poids(translators,77) = 4.204662511748219
poids(remarks,78) = 1.4409325023496438
poids(practical,78) = 2.007770622826824
poids(solution,78) = 1.514233767748858
poids(characteristic,78) = 1.9001680009235575
poids(value,78) = 2.3489188574962654
poids(problems,78) = 2.1573876443640394
poids(paper,78) = 1.1734406500915124
poids(concerned,78) = 1.4181438318882764
poids(problem,78) = 1.2080619311927565
poids(ordinary,78) = 1.385181782159078
poids(differential,78) = 1.3648902540073227
poids(equation,78) = 1.3499635303479418
poids(apparent,78) = 1.5807265032168476
poids(sequential,78) = 1.4117068952139962
poids(computers,78) = 1.2875013291332076
poids(digital,78) = 1.30113850148244
poids(analog,78) = 1.5613445006152364
poids(solve,78) = 1.4086589019026488
poids(initial,78) = 1.385181782159078
poids(rather,78) = 1.3515008960812
poids(boundary,78) = 1.4215504997480326
poids(mathematical,78) = 1.6692734378823855
poids(process,78) = 1.2817564988808288
poids(must,78) = 1.3132346509587163
poids(found,78) = 1.3399025066856627
poids(compensate,78) = 1.70113850148244
poids(machine,78) = 1.5318404993426076
poids(inadequacy,78) = 1.70113850148244
poids(compensating,78) = 1.640932502349644
poids(imperfection,78) = 1.70113850148244
poids(course,78) = 1.4250962531401188
poids(normal,78) = 1.3579378327554803
poids(activity,78) = 1.4287929342789214
poids(numerical,78) = 1.2985710565414057
poids(analyst,78) = 1.5613445006152364
poids(number,78) = 1.2028661627155854
poids(papers,78) = 1.4783498310210725
poids(applied,78) = 1.30113850148244
poids(particular,78) = 1.8785798933523852
poids(devices,78) = 1.3974357135068625
poids(purpose,78) = 1.2952617459453981
poids(note,78) = 1.322719580944344
poids(establish,78) = 1.5613445006152364
poids(framework,78) = 1.4326539653179988
poids(model,78) = 1.2817564988808288
poids(procedures,78) = 1.2985710565414057
poids(thus,78) = 1.3596244662628527
poids(assist,78) = 1.50113850148244
poids(use,78) = 1.1923248926123848
poids(extension,78) = 1.3484529027698526
poids(ideas,78) = 1.4181438318882764
poids(programming,79) = 1.974213590369945
poids(machine,79) = 2.3296012483565187
poids(extended,79) = 2.914627900385701
poids(address,79) = 3.043294509513244
poids(calculational,79) = 4.5056925074122
poids(mechanism,79) = 3.125481265700594
poids(technique,80) = 2.226938906459371
poids(computing,80) = 2.484503208342262
poids(critical,80) = 3.226938906459371
poids(rotational,80) = 4.0285712526925375
poids(speeds,80) = 3.6026025204202563
poids(flexible,80) = 3.125481265700594
poids(shafts,80) = 4.5056925074122
poids(automatic,80) = 2.464299822253975
poids(computer,80) = 1.729718176282831
poids(norc,81) = 4.5056925074122
poids(high,81) = 2.5972074885335505
poids(speed,81) = 2.713300817913946
poids(printer,81) = 3.8067225030761813
poids(handling,82) = 1.6345441720280791
poids(identifiers,82) = 1.886864822465981
poids(internal,82) = 1.6580711967899817
poids(symbols,82) = 3.0143308135779274
poids(language,82) = 1.6828332526065966
poids(processors,82) = 2.3161423935799634
poids(substitution,82) = 1.850483332657625
poids(computer,82) = 1.243239392094277
poids(oriented,82) = 2.171669653604
poids(programmer,82) = 1.6081504233455375
poids(examined,82) = 1.6051654757945621
poids(feasible,82) = 1.767190841585425
poids(method,82) = 1.3048759667952337
poids(presented,82) = 1.3082558439121934
poids(visit,83) = 3.9036325160842376
poids(computation,83) = 2.45261406392878
poids(centers,83) = 3.727541257028556
poids(soviet,83) = 3.8067225030761813
poids(union,83) = 3.5514499979728753
poids(survey,84) = 3.0285712526925375
poids(progress,84) = 3.359564471733962
poids(trend,84) = 3.9036325160842376
poids(development,84) = 2.5419046800666445
poids(use,84) = 1.9616244630619244
poids(automatic,84) = 2.464299822253975
poids(data,84) = 1.9410264431601107
poids(processing,84) = 2.198196469498987
poids(business,84) = 3.1077524987401626
poids(management,84) = 2.824451270036613
poids(control,84) = 2.3851185762063505
poids(systems,84) = 2.0032653874277675
poids(federal,84) = 4.0285712526925375
poids(government,84) = 3.464299822253975
poids(december,84) = 3.8067225030761813
poids(1957,84) = 4.0285712526925375
poids(ii,84) = 2.8067225030761813
poids(part,84) = 2.5612098352620314
poids(2,84) = 2.415787395972802
poids(see,84) = 3.8067225030761813
poids(ca590406,84) = 4.5056925074122
poids(error,85) = 2.4487876560757273
poids(analysis,85) = 2.204662511748219
poids(floating,85) = 3.0743287432532127
poids(point,85) = 2.5100573128146504
poids(arithmetic,85) = 2.6135979047217197
poids(survey,86) = 3.0285712526925375
poids(progress,86) = 3.359564471733962
poids(trend,86) = 3.9036325160842376
poids(development,86) = 2.5419046800666445
poids(use,86) = 1.9616244630619244
poids(automatic,86) = 2.464299822253975
poids(data,86) = 1.9410264431601107
poids(processing,86) = 2.198196469498987
poids(business,86) = 3.1077524987401626
poids(management,86) = 2.824451270036613
poids(control,86) = 2.3851185762063505
poids(systems,86) = 2.0032653874277675
poids(federal,86) = 4.0285712526925375
poids(government,86) = 3.464299822253975
poids(december,86) = 3.8067225030761813
poids(1957,86) = 4.0285712526925375
poids(note,87) = 2.6135979047217197
poids(method,87) = 1.914627900385701
poids(generating,87) = 2.765329817917956
poids(points,87) = 2.7422645138492627
poids(uniformly,87) = 3.6026025204202563
poids(n,87) = 2.405321962294637
poids(dimensional,87) = 2.852479993636856
poids(spheres,87) = 4.204662511748219
poids(efficient,88) = 2.3785877090473924
poids(method,88) = 1.914627900385701
poids(generating,88) = 2.765329817917956
poids(uniformly,88) = 3.6026025204202563
poids(distributed,88) = 3.163269826589994
poids(points,88) = 2.7422645138492627
poids(surface,88) = 3.090719159441382
poids(n,88) = 2.405321962294637
poids(dimensional,88) = 2.852479993636856
poids(sphere,88) = 3.9036325160842376
poids(routine,89) = 2.9742135903699447
poids(find,89) = 2.9616244630619244
poids(solution,89) = 2.285584419372145
poids(simultaneous,89) = 3.125481265700594
poids(linear,89) = 2.3984825377643317
poids(equations,89) = 2.4803866421474297
poids(polynomial,89) = 2.6483600109809315
poids(coefficients,89) = 2.8722240518326134
poids(binary,90) = 2.6544341586931246
poids(arithmetic,90) = 2.6135979047217197
poids(discretely,90) = 4.5056925074122
poids(variable,90) = 2.7063519579586184
poids(word,90) = 2.8429346757306257
poids(length,90) = 2.720362672401433
poids(serial,90) = 3.275243586033926
poids(computer,90) = 1.729718176282831
poids(mathematical,91) = 2.6731835947059635
poids(procedure,91) = 2.3443245051772252
poids(machine,91) = 2.3296012483565187
poids(division,91) = 2.9742135903699447
poids(checklist,92) = 2.7528462537061
poids(intelligence,92) = 2.213255630682288
poids(programming,92) = 1.974213590369945
poids(systems,92) = 2.0032653874277675
poids(remarkable,92) = 2.5142856263462687
poids(variation,92) = 2.1958745775526816
poids(exists,92) = 2.1252100011544472
poids(degree,92) = 1.9464543253462323
poids(sophistication,92) = 2.451816258042119
poids(various,92) = 2.4338105001060746
poids(particular,92) = 1.7321499111269876
poids(manifestation,92) = 2.7528462537061
poids(jungle,92) = 2.7528462537061
poids(assorted,92) = 2.6023312558741094
poids(devices,92) = 2.9871785675343125
poids(reproducing,92) = 2.6023312558741094
poids(limited,92) = 1.8948445818887003
poids(human,92) = 3.0143308135779274
poids(decision,92) = 2.781416637811411
poids(procedures,92) = 1.746427641353514
poids(attempt,92) = 2.0216472547566218
poids(made,92) = 1.6958745775526816
poids(begin,92) = 2.6023312558741094
poids(systematic,92) = 2.232149911126988
poids(classification,92) = 2.137621793016963
poids(educating,92) = 2.7528462537061
poids(computer,92) = 1.3648590881414155
poids(take,92) = 2.0292672380349903
poids(making,92) = 2.0371643716266066
poids(functions,92) = 1.6677153960086213
poids(one,92) = 1.5128427822275246
poids(many,92) = 1.6677153960086213
poids(operators,92) = 2.0538762493700813
poids(demonstrated,92) = 2.081634913294997
poids(feasible,92) = 2.1507862623781375
poids(date,92) = 2.179782235866981
poids(highly,92) = 2.007165406788964
poids(desirable,92) = 2.081634913294997
poids(future,92) = 1.9214673378653129
poids(formulas,93) = 2.3077496420412826
poids(computer,93) = 1.729718176282831
poids(oriented,93) = 1.585834826802
poids(language,93) = 1.3414166263032983
poids(technique,93) = 1.408979635486457
poids(shown,93) = 1.4044788120185747
poids(enabling,93) = 1.850483332657625
poids(translate,93) = 1.886864822465981
poids(simple,93) = 1.4356784734859258
poids(algebraic,93) = 1.6111982164921608
poids(three,93) = 1.4854914949140061
poids(address,93) = 1.6810981698377478
poids(code,93) = 1.510854884604167
poids(iterative,94) = 3.0585344760699806
poids(method,94) = 1.914627900385701
poids(fitting,94) = 2.0142856263462687
poids(logistic,94) = 4.5056925074122
poids(curve,94) = 2.914627900385701
poids(given,94) = 1.4752990294169406
poids(finding,94) = 1.899061165657132
poids(best,94) = 1.899061165657132
poids(least,94) = 1.8497562667141565
poids(squares,94) = 1.9464543253462323
poids(fit,94) = 2.0002712645461473
poids(set,94) = 1.5846163867818353
poids(two,94) = 1.5284930937535601
poids(dimensional,94) = 1.926239996818428
poids(points,94) = 1.8711322569246314
poids(elimination,95) = 1.3639122021130468
poids(special,95) = 1.266201248088925
poids(functions,95) = 2.3354307920172426
poids(differential,95) = 1.9122256350183064
poids(equations,95) = 1.9869244280982863
poids(set,95) = 1.3897442578545567
poids(ordinary,95) = 1.3209848184658983
poids(contains,95) = 1.3542468776167658
poids(mathematical,95) = 1.278863932450994
poids(requiring,95) = 1.3674437519580365
poids(use,95) = 1.1602707438436541
poids(subroutines,95) = 1.3269374105103207
poids(numerical,95) = 1.4976184275690092
poids(solution,95) = 1.428528139790715
poids(electronic,95) = 1.4044185435607626
poids(computer,95) = 1.1216196960471385
poids(tabular,95) = 1.4107166370423292
poids(data,95) = 1.1568377405266852
poids(hand,95) = 1.3542468776167658
poids(calculation,95) = 1.2969027729685685
poids(function,95) = 1.2029817962469957
poids(generators,95) = 1.3932607452889936
poids(analog,95) = 1.46778708384603
poids(methods,95) = 1.208403333718149
poids(applied,95) = 1.2509487512353665
poids(sometimes,95) = 1.4337670867367094
poids(expanded,95) = 1.4839387526807062
poids(equivalent,95) = 1.3430890793449968
poids(contain,95) = 1.3835954207927124
poids(practical,95) = 1.2799362841185622
poids(satisfy,95) = 1.3882668747260865
poids(sufficiently,95) = 1.4107166370423292
poids(simple,95) = 1.217839236742963
poids(thus,95) = 1.299687055219044
poids(among,95) = 1.3055991082460805
poids(eliminated,95) = 1.3986248591842272
poids(procedure,95) = 1.2240540841962042
poids(trigonometric,95) = 2.0095237508975123
poids(inverse,95) = 1.3457214572088687
poids(exponential,95) = 1.3172720860140394
poids(many,95) = 1.2225717986695404
poids(transcendental,95) = 1.4434324112329904
poids(computing,96) = 1.742251604171131
poids(radiation,96) = 4.204662511748219
poids(integrals,96) = 2.9871785675343125
poids(relative,96) = 1.9167973247382413
poids(merit,96) = 2.301301260210128
poids(cost,96) = 1.7959393275142417
poids(four,96) = 1.899061165657132
poids(ways,96) = 2.0371643716266066
poids(evaluating,96) = 2.007165406788964
poids(typical,96) = 2.0216472547566218
poids(containing,96) = 1.9935892837671563
poids(spherical,96) = 2.451816258042119
poids(bessel,96) = 2.1134694532296856
poids(functions,96) = 1.6677153960086213
poids(investigated,96) = 2.1648006241782594
poids(methods,96) = 1.625210001154447
poids(desk,96) = 2.7528462537061
poids(machine,96) = 1.6648006241782594
poids(evaluation,96) = 1.7907066106751592
poids(finite,96) = 1.9311199154630063
poids(series,96) = 1.8430742859351656
poids(integration,96) = 1.8430742859351656
poids(appropriate,96) = 1.9746950033224564
poids(differential,96) = 1.9122256350183064
poids(equation,96) = 2.7498176517397086
poids(reeves,96) = 2.7528462537061
poids(electronic,96) = 2.213255630682288
poids(analog,96) = 2.4033612515380907
poids(computer,96) = 1.729718176282831
poids(litton,96) = 2.7528462537061
poids(40,96) = 2.1507862623781375
poids(ibm,96) = 1.7639844510616762
poids(704,96) = 2.5142856263462687
poids(results,96) = 1.5856193781306347
poids(generally,96) = 2.0292672380349903
poids(applicable,96) = 1.9122256350183064
poids(equations,96) = 1.7401933210737148
poids(separated,96) = 2.363770628514278
poids(helmholtz,96) = 2.7528462537061
poids(wave,96) = 2.213255630682288
poids(signal,97) = 3.5514499979728753
poids(corps,97) = 4.5056925074122
poids(research,97) = 2.734840495770056
poids(development,97) = 2.5419046800666445
poids(automatic,97) = 2.464299822253975
poids(programming,97) = 1.974213590369945
poids(digital,97) = 2.5056925074122
poids(computers,97) = 2.4375066456660384
poids(arithmetic,98) = 2.6135979047217197
poids(translator,98) = 3.125481265700594
poids(compiler,98) = 2.5814132213503185
poids(ibm,98) = 2.5279689021233525
poids(fortran,98) = 2.4193326767374517
poids(automatic,98) = 2.464299822253975
poids(coding,98) = 2.8929086506924646
poids(system,98) = 1.8015419905724008
poids(possible,99) = 2.4193326767374517
poids(modifications,99) = 3.391749155105363
poids(international,99) = 3.5514499979728753
poids(algebraic,99) = 2.8335946494764825
poids(language,99) = 2.0242498789098953
poids(recursive,100) = 2.8622398309260126
poids(subscripting,100) = 4.0285712526925375
poids(compilers,100) = 2.9616244630619244
poids(list,100) = 2.5279689021233525
poids(types,100) = 2.6483600109809315
poids(memories,100) = 3.5056925074122
poids(nuclear,101) = 4.0285712526925375
poids(reactor,101) = 4.0285712526925375
poids(codes,101) = 3.0585344760699806
poids(comparison,102) = 2.734840495770056
poids(650,102) = 3.660594467397943
poids(programming,102) = 1.974213590369945
poids(methods,102) = 2.250420002308894
poids(cope,103) = 2.9357550107228247
poids(console,103) = 2.6176741742430503
poids(operator,103) = 3.391749155105363
poids(proficiency,103) = 3.0190475017950247
poids(examination,103) = 3.275243586033926
poids(year,103) = 1.886864822465981
poids(electronic,103) = 1.8088370871215251
poids(computers,103) = 1.958337763777359
poids(become,103) = 2.4846259376395805
poids(sophisticated,103) = 1.767190841585425
poids(programs,103) = 1.7282618288872986
poids(must,103) = 1.5220577515978606
poids(process,103) = 1.4695941648013813
poids(complex,103) = 1.5048221439065683
poids(dependence,103) = 1.9091804190095187
poids(computing,103) = 1.494834402780754
poids(skill,103) = 1.9678775053614124
poids(experience,103) = 1.6419696369317967
poids(operators,103) = 2.4051683324934414
poids(increasing,103) = 1.7278244042260935
poids(time,103) = 1.307497911147859
poids(selection,103) = 1.638209300128567
poids(training,103) = 2.5730429811559743
poids(qualified,103) = 2.0095237508975123
poids(grows,103) = 1.8675341734734188
poids(difficult,103) = 1.6623928558447707
poids(meet,103) = 1.886864822465981
poids(need,103) = 1.5598725682371244
poids(quick,103) = 1.9091804190095187
poids(accurate,103) = 1.7423129688197903
poids(uniform,103) = 1.7084937552335313
poids(test,103) = 1.5342008401400855
poids(aid,103) = 1.6458302611150684
poids(authors,103) = 1.7278244042260935
poids(developed,103) = 1.8677150165041834
